t,x=0.00,x=0.05,x=0.10,x=0.15,x=0.20,x=0.25,x=0.30,x=0.35,x=0.40,x=0.45,x=0.50,x=0.55,x=0.60,x=0.65,x=0.70,x=0.75,x=0.80,x=0.85,x=0.90,x=0.95,x=1.00
0.020000,0.00000000,0.13749425,0.26775137,0.38447827,0.48311956,0.56137222,0.61928303,0.65889987,0.68348535,0.69649202,0.70050705,0.69649202,0.68348535,0.65889987,0.61928303,0.56137222,0.48311956,0.38447827,0.26775137,0.13749425,0.00000000
0.021000,0.00000000,0.13459940,0.26233928,0.37724402,0.47496411,0.55323548,0.61196544,0.65288733,0.67885382,0.69289536,0.69729503,0.69289536,0.67885382,0.65288733,0.61196544,0.55323548,0.47496411,0.37724402,0.26233928,0.13459940,0.00000000
0.022000,0.00000000,0.13185559,0.25720522,0.37037016,0.46718462,0.54541892,0.60484221,0.64690517,0.67408384,0.68903861,0.69377530,0.68903861,0.67408384,0.64690517,0.60484221,0.54541892,0.46718462,0.37037016,0.25720522,0.13185559,0.00000000
0.023000,0.00000000,0.12925321,0.25233135,0.36382997,0.45975255,0.53789452,0.59789808,0.64095145,0.66919428,0.68495138,0.68998595,0.68495138,0.66919428,0.64095145,0.59789808,0.53789452,0.45975255,0.36382997,0.25233135,0.12925321,0.00000000
0.024000,0.00000000,0.12678318,0.24769954,0.35759955,0.45264031,0.53063916,0.59111800,0.63502723,0.66419999,0.68066237,0.68595829,0.68066237,0.66419999,0.63502723,0.59111800,0.53063916,0.45264031,0.35759955,0.24769954,0.12678318,0.00000000
0.025000,0.00000000,0.12443645,0.24329300,0.35165585,0.44582355,0.52363115,0.58449016,0.62913264,0.65911584,0.67619579,0.68172155,0.67619579,0.65911584,0.62913264,0.58449016,0.52363115,0.44582355,0.35165585,0.24329300,0.12443645,0.00000000
0.026000,0.00000000,0.12220449,0.23909552,0.34597779,0.43927951,0.51685171,0.57800355,0.62326893,0.65395454,0.67157411,0.67730094,0.67157411,0.65395454,0.62326893,0.57800355,0.51685171,0.43927951,0.34597779,0.23909552,0.12220449,0.00000000
0.027000,0.00000000,0.12007911,0.23509202,0.34054557,0.43298770,0.51028357,0.57164897,0.61743702,0.64872812,0.66681701,0.67271948,0.66681701,0.64872812,0.61743702,0.57164897,0.51028357,0.43298770,0.34054557,0.23509202,0.12007911,0.00000000
0.028000,0.00000000,0.11805263,0.23126827,0.33534100,0.42692920,0.50391138,0.56541803,0.61163824,0.64344724,0.66194244,0.66799751,0.66194244,0.64344724,0.61163824,0.56541803,0.50391138,0.42692920,0.33534100,0.23126827,0.11805263,0.00000000
0.029000,0.00000000,0.11611784,0.22761111,0.33034719,0.42108679,0.49772117,0.55930345,0.60587376,0.63812172,0.65696639,0.66315346,0.65696639,0.63812172,0.60587376,0.55930345,0.49772117,0.42108679,0.33034719,0.22761111,0.11611784,0.00000000
0.030000,0.00000000,0.11426801,0.22410823,0.32554860,0.41544470,0.49170033,0.55329866,0.60014482,0.63276040,0.65190335,0.65820380,0.65190335,0.63276040,0.60014482,0.55329866,0.49170033,0.41544470,0.32554860,0.22410823,0.11426801,0.00000000
0.031000,0.00000000,0.11249689,0.22074829,0.32093089,0.40998851,0.48583741,0.54739779,0.59445259,0.62737135,0.64676635,0.65316344,0.64676635,0.62737135,0.59445259,0.54739779,0.48583741,0.40998851,0.32093089,0.22074829,0.11249689,0.00000000
0.032000,0.00000000,0.11079869,0.21752077,0.31648090,0.40470502,0.48012200,0.54159556,0.58879817,0.62196185,0.64156718,0.64804577,0.64156718,0.62196185,0.58879817,0.54159556,0.48012200,0.40470502,0.31648090,0.21752077,0.11079869,0.00000000
0.033000,0.00000000,0.10916805,0.21441599,0.31218650,0.39958217,0.47454463,0.53588718,0.58318260,0.61653851,0.63631648,0.64286290,0.63631648,0.61653851,0.58318260,0.53588718,0.47454463,0.39958217,0.31218650,0.21441599,0.10916805,0.00000000
0.034000,0.00000000,0.10760001,0.21142502,0.30803656,0.39460889,0.46909667,0.53026833,0.57760680,0.61110733,0.63102386,0.63762577,0.63102386,0.61110733,0.57760680,0.53026833,0.46909667,0.39460889,0.30803656,0.21142502,0.10760001,0.00000000
0.035000,0.00000000,0.10609001,0.20853963,0.30402087,0.38977507,0.46377022,0.52473505,0.57207162,0.60567373,0.62569801,0.63234424,0.62569801,0.60567373,0.57207162,0.52473505,0.46377022,0.38977507,0.30402087,0.20853963,0.10609001,0.00000000
0.036000,0.00000000,0.10463385,0.20575228,0.30013005,0.38507145,0.45855809,0.51928375,0.56657784,0.60024260,0.62034679,0.62702726,0.62034679,0.60024260,0.56657784,0.51928375,0.45855809,0.38507145,0.30013005,0.20575228,0.10463385,0.00000000
0.037000,0.00000000,0.10322768,0.20305602,0.29635550,0.38048955,0.45345370,0.51391112,0.56112611,0.59481837,0.61497730,0.62168289,0.61497730,0.59481837,0.56112611,0.51391112,0.45345370,0.38048955,0.29635550,0.20305602,0.10322768,0.00000000
0.038000,0.00000000,0.10186794,0.20044448,0.29268933,0.37602159,0.44845101,0.50861415,0.55571702,0.58940504,0.60959596,0.61631842,0.60959596,0.58940504,0.55571702,0.50861415,0.44845101,0.37602159,0.29268933,0.20044448,0.10186794,0.00000000
0.039000,0.00000000,0.10055138,0.19791180,0.28912429,0.37166045,0.44354450,0.50339004,0.55035108,0.58400620,0.60420858,0.61094045,0.60420858,0.58400620,0.55035108,0.50339004,0.44354450,0.37166045,0.28912429,0.19791180,0.10055138,0.00000000
0.040000,0.00000000,0.09927500,0.19545263,0.28565376,0.36739961,0.43872910,0.49823624,0.54502871,0.57862510,0.59882038,0.60555495,0.59882038,0.57862510,0.54502871,0.49823624,0.43872910,0.36739961,0.28565376,0.19545263,0.09927500,0.00000000
0.041000,0.00000000,0.09803605,0.19306203,0.28227165,0.36323306,0.43400016,0.49315037,0.53975028,0.57326466,0.59343610,0.60016729,0.59343610,0.57326466,0.53975028,0.49315037,0.43400016,0.36323306,0.28227165,0.19306203,0.09803605,0.00000000
0.042000,0.00000000,0.09683202,0.19073548,0.27897237,0.35915533,0.42935340,0.48813025,0.53451607,0.56792748,0.58806000,0.59478234,0.58806000,0.56792748,0.53451607,0.48813025,0.42935340,0.35915533,0.27897237,0.19073548,0.09683202,0.00000000
0.043000,0.00000000,0.09566060,0.18846885,0.27575080,0.35516138,0.42478491,0.48317384,0.52932630,0.56261592,0.58269593,0.58940447,0.58269593,0.56261592,0.52932630,0.48317384,0.42478491,0.35516138,0.27575080,0.18846885,0.09566060,0.00000000
0.044000,0.00000000,0.09451966,0.18625833,0.27260225,0.35124656,0.42029107,0.47827925,0.52418116,0.55733208,0.57734734,0.58403763,0.57734734,0.55733208,0.52418116,0.47827925,0.42029107,0.35124656,0.27260225,0.18625833,0.09451966,0.00000000
0.045000,0.00000000,0.09340726,0.18410043,0.26952241,0.34740664,0.41586854,0.47344474,0.51908077,0.55207782,0.57201735,0.57868540,0.57201735,0.55207782,0.51908077,0.47344474,0.41586854,0.34740664,0.26952241,0.18410043,0.09340726,0.00000000
0.046000,0.00000000,0.09232163,0.18199195,0.26650731,0.34363771,0.41151426,0.46866867,0.51402518,0.54685481,0.56670876,0.57335096,0.56670876,0.54685481,0.51402518,0.46866867,0.41151426,0.34363771,0.26650731,0.18199195,0.09232163,0.00000000
0.047000,0.00000000,0.09126111,0.17992996,0.26355333,0.33993617,0.40722540,0.46394951,0.50901443,0.54166454,0.56142406,0.56803720,0.56142406,0.54166454,0.50901443,0.46394951,0.40722540,0.33993617,0.26355333,0.17992996,0.09126111,0.00000000
0.048000,0.00000000,0.09022421,0.17791177,0.26065712,0.33629873,0.40299935,0.45928583,0.50404850,0.53650830,0.55616551,0.56274669,0.55616551,0.53650830,0.50404850,0.45928583,0.40299935,0.33629873,0.26065712,0.17791177,0.09022421,0.00000000
0.049000,0.00000000,0.08920955,0.17593488,0.25781562,0.33272233,0.39883369,0.45467631,0.49912736,0.53138726,0.55093510,0.55748174,0.55093510,0.53138726,0.49912736,0.45467631,0.39883369,0.33272233,0.25781562,0.17593488,0.08920955,0.00000000
0.050000,0.00000000,0.08821586,0.17399704,0.25502601,0.32920419,0.39472620,0.45011968,0.49425090,0.52630243,0.54573462,0.55224443,0.54573462,0.52630243,0.49425090,0.45011968,0.39472620,0.32920419,0.25502601,0.17399704,0.08821586,0.00000000
0.051000,0.00000000,0.08724199,0.17209616,0.25228570,0.32574172,0.39067479,0.44561478,0.48941903,0.52125470,0.54056567,0.54703658,0.54056567,0.52125470,0.48941903,0.44561478,0.39067479,0.32574172,0.25228570,0.17209616,0.08724199,0.00000000
0.052000,0.00000000,0.08628686,0.17023031,0.24959229,0.32233254,0.38667756,0.44116048,0.48463159,0.51624482,0.53542965,0.54185985,0.53542965,0.51624482,0.48463159,0.44116048,0.38667756,0.32233254,0.24959229,0.17023031,0.08628686,0.00000000
0.053000,0.00000000,0.08534949,0.16839772,0.24694360,0.31897445,0.38273272,0.43675576,0.47988844,0.51127346,0.53032780,0.53671569,0.53032780,0.51127346,0.47988844,0.43675576,0.38273272,0.31897445,0.24694360,0.16839772,0.08534949,0.00000000
0.054000,0.00000000,0.08442899,0.16659678,0.24433759,0.31566542,0.37883863,0.43239961,0.47518937,0.50634119,0.52526122,0.53160537,0.52526122,0.50634119,0.47518937,0.43239961,0.37883863,0.31566542,0.24433759,0.16659678,0.08442899,0.00000000
0.055000,0.00000000,0.08352451,0.16482599,0.24177240,0.31240357,0.37499374,0.42809112,0.47053419,0.50144847,0.52023087,0.52653005,0.52023087,0.50144847,0.47053419,0.42809112,0.37499374,0.31240357,0.24177240,0.16482599,0.08352451,0.00000000
0.056000,0.00000000,0.08263530,0.16308396,0.23924630,0.30918717,0.37119662,0.42382940,0.46592268,0.49659572,0.51523758,0.52149070,0.51523758,0.49659572,0.46592268,0.42382940,0.37119662,0.30918717,0.23924630,0.16308396,0.08263530,0.00000000
0.057000,0.00000000,0.08176064,0.16136943,0.23675771,0.30601460,0.36744595,0.41961360,0.46135458,0.49178325,0.51028209,0.51648821,0.51028209,0.49178325,0.46135458,0.41961360,0.36744595,0.30601460,0.23675771,0.16136943,0.08176064,0.00000000
0.058000,0.00000000,0.08089990,0.15968123,0.23430516,0.30288439,0.36374047,0.41544293,0.45682966,0.48701132,0.50536500,0.51152331,0.50536500,0.48701132,0.45682966,0.41544293,0.36374047,0.30288439,0.23430516,0.15968123,0.08089990,0.00000000
0.059000,0.00000000,0.08005247,0.15801827,0.23188728,0.29979513,0.36007902,0.41131664,0.45234763,0.48228013,0.50048685,0.50659666,0.50048685,0.48228013,0.45234763,0.41131664,0.36007902,0.29979513,0.23188728,0.15801827,0.08005247,0.00000000
0.060000,0.00000000,0.07921780,0.15637955,0.22950281,0.29674554,0.35646051,0.40723399,0.44790823,0.47758982,0.49564808,0.50170881,0.49564808,0.47758982,0.44790823,0.40723399,0.35646051,0.29674554,0.22950281,0.15637955,0.07921780,0.00000000
0.061000,0.00000000,0.07839538,0.15476416,0.22715060,0.29373444,0.35288392,0.40319429,0.44351117,0.47294049,0.49084907,0.49686023,0.49084907,0.47294049,0.44351117,0.40319429,0.35288392,0.29373444,0.22715060,0.15476416,0.07839538,0.00000000
0.062000,0.00000000,0.07758474,0.15317122,0.22482956,0.29076069,0.34934828,0.39919689,0.43915615,0.46833219,0.48609010,0.49205130,0.48609010,0.46833219,0.43915615,0.39919689,0.34934828,0.29076069,0.22482956,0.15317122,0.07758474,0.00000000
0.063000,0.00000000,0.07678544,0.15159996,0.22253868,0.28782327,0.34585269,0.39524115,0.43484286,0.46376494,0.48137142,0.48728234,0.48137142,0.46376494,0.43484286,0.39524115,0.34585269,0.28782327,0.22253868,0.15159996,0.07678544,0.00000000
0.064000,0.00000000,0.07599707,0.15004964,0.22027703,0.28492120,0.34239631,0.39132645,0.43057101,0.45923870,0.47669320,0.48255360,0.47669320,0.45923870,0.43057101,0.39132645,0.34239631,0.28492120,0.22027703,0.15004964,0.07599707,0.00000000
0.065000,0.00000000,0.07521927,0.14851957,0.21804374,0.28205358,0.33897832,0.38745222,0.42634026,0.45475342,0.47205556,0.47786528,0.47205556,0.45475342,0.42634026,0.38745222,0.33897832,0.28205358,0.21804374,0.14851957,0.07521927,0.00000000
0.066000,0.00000000,0.07445168,0.14700912,0.21583801,0.27921954,0.33559798,0.38361788,0.42215031,0.45030901,0.46745859,0.47321750,0.46745859,0.45030901,0.42215031,0.38361788,0.33559798,0.27921954,0.21583801,0.14700912,0.07445168,0.00000000
